longitude,latitude
-117.67,34.12
-118.16,34.06
-124.09,40.87
-116.95,32.81
-118.4,34.04
-118.42,34.01
-118.13,34.09
-118.14,34.7
-121.95,37.26
-122.03,37.37
-117.67,33.46
-118,34.13
-118.16,34.03
-121.03,37.67
-118.57,34.2
-121.98,37.8
-117.9,33.63
-121.86,37.22
-118.36,33.88
-121.63,38.04
-119.57,37.94
-118.15,33.96
-121.91,37.26
-118.29,33.98
-118.57,34.22
-121.89,37.23
-118.36,34.09
-118.21,33.8
-121.9,37.27
-121.41,39.04
-117.86,33.91
-118.01,34.11
-117.28,32.83
-122.05,37.59
-121.65,39.16
-118.41,34.02
-119.69,36.73
-120.76,37.44
-118.25,33.86
-118.16,34.07
-118.03,33.77
-118.44,34.19
-118.72,34.14
-117.14,32.75
-121.91,37.32
-117.61,34.13
-117.44,34.45
-118.33,34.1
-121.27,37.96
-121.11,38.91
-118.27,33.95
-120.43,34.7
-117.85,33.85
-117.32,34.17
-119.36,36.21
-119.63,36.35
-122.1,37.4
-121.95,37.34
-116.98,32.86
-117.06,32.76
-121.98,37.36
-122.4,38.46
-117.73,34.05
-120.32,37.29
-118.58,34.19
-122.27,40.53
-118.1,33.96
-122.44,38.57
-117.92,33.7
-120.02,37.72
-119.87,36.83
-121.33,38.68
-117.14,32.7
-122.46,37.79
-120.71,37.38
-118.34,33.8
-118.27,33.91
-117.22,33.31
-119.65,36.34
-120.72,37.38
-117.18,33.51
-118.83,34.14
-118.34,34.1
-117.9,33.74
-122.64,41.73
-117.13,32.94
-117.84,33.89
-120.97,37.63
-121.61,36.67
-121.74,36.79
-118.44,35.75
-117.11,32.9
-123.22,39.15
-121.94,36.97
-118.14,34.04
-122.76,38.46
-117.87,33.63
-118.33,34.16
-117.94,33.71
-120.45,34.63
-117.77,34.11
-118.45,34.19
-119.58,36.83
-117.71,34.1
-117.36,34.09
-121.96,37.28
-122.44,37.76
-117.93,33.85
-122.72,38.42
-118.63,34.19
-117.98,33.8
-122.65,38.48
-122.33,37.55
-118.34,33.99
-119.22,34.34
-122.33,37.58
-118.02,33.79
-122.04,38
-122.64,38.87
-122.43,37.74
-119.19,34.21
